STRAIN	NCBI REFSEQ ID
Streptomyces sp. SLBN-31 [RHIZ|PSYMB|PGPB]	GCF_006715395.1
Cellulomonas sp. Root137 [RHIZ]	GCF_001426725.1
Cellulomonas sp. Root485 [RHIZ]	GCF_001426705.1
Cellulomonas sp. Root930 [RHIZ]	GCA_001429255.1
Oerskovia sp. Root22 [RHIZ]	GCF_001429135.1
Oerskovia sp. Root918 [RHIZ]	GCF_001428945.1
Brachybacterium saurashtrense DSM 23186 [RHIZ]	GCF_003994295.1
Kineosporia rhizophila JCM 9960 [RHIZ]	GCA_001315705.1
Dermacoccus sp. SAI-028 [RHIZ]	GCF_004346775.1
Rudaeicoccus suwonensis DSM 19560 [RHIZ]	GCF_007829035.1
Frankia asymbiotica NRRL B-16386 [RHIZ|PSYMB]	GCF_001983105.1
Frankia discariae BCU110501 [RHIZ|PSYMB]	GCF_000373365.1
Frankia irregularis DSM 45899 [RHIZ|PSYMB]	GCF_001536285.1
Frankia sp. Allo2 [RHIZ|PSYMB]	GCF_000733325.1
Frankia sp AvcI.1 [RHIZ|PSYMB]	GCF_001420875.1
Frankia sp. B2 [RHIZ|PSYMB]	GCF_004405155.1
Frankia sp. BMG5.11 [RHIZ|PSYMB]	GCF_004337455.1
Frankia sp. BMG5.30 [RHIZ|PSYMB]	GCF_001983005.1
Frankia sp. BMG5.36 [RHIZ|PSYMB]	GCF_001854805.1
Frankia sp. CcI156 [RHIZ|PSYMB]	GCF_001983015.1
Frankia sp. CcI49 [RHIZ|PSYMB]	GCF_001983215.1
Frankia sp. CgIM4 [RHIZ|PSYMB]	GCF_001756285.1
Frankia sp. CgIS1 [RHIZ|PSYMB]	GCF_001854725.1
Frankia sp. DC12 [RHIZ|PSYMB]	GCF_000966285.1
Frankia sp. KB5 [RHIZ|PSYMB]	GCF_002099325.1
Frankia symbiont of Datisca glomerata Dg1 [RHIZ|PSYMB]	GCF_000177615.2
Glycomyces paridis CPCC 204357 [RHIZ]	GCF_004912155.1
