S.NO	ID	PGPT_ID	BACTERIA	PATH_COUNT	Lv1	Lv2	Lv3	Lv4	Lv5
1	PGPT0000001	PGPT0000001-nifA|anfA|vnfA-K02584	Kosakonia radicincitans DSM 16656 [PHYL|PSYMB|PSYMB],Azoarcus sp. BH72,Rhizobium leguminosarum bv. viciae 3841	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
2	PGPT0000005	PGPT0000005-nifB-K02585	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
3	PGPT0000010	PGPT0000010-nifD|anfD-K02586	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
4	PGPT0000015	PGPT0000015-nifE-K02587	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
5	PGPT0000020	PGPT0000020-nifF|fldA|isiB-K03839	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
6	PGPT0000025	PGPT0000025-nifH|anfH-K02588	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
7	PGPT0000030	PGPT0000030-nifHD1|nifI1-K02589	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
8	PGPT0000035	PGPT0000035-nifHD2|nifI2-K02590	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
9	PGPT0000040	PGPT0000040-nifJ|por-K03737	Search me on PLaBA-db (KEGG hit)	6	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS# PGPT
10	PGPT0000045	PGPT0000045-nifK|anfK-K02591	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
11	PGPT0000050	PGPT0000050-nifM-K03769	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
12	PGPT0000055	PGPT0000055-nifN|vnfN-K02592	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
13	PGPT0000060	PGPT0000060-nifQ-K15790	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
14	PGPT0000065	PGPT0000065-nifS|iscS-K04487	Search me on PLaBA-db (KEGG hit)	6	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS# PGPT
15	PGPT0000070	PGPT0000070-nifT|fixU-K02593	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
16	PGPT0000075	PGPT0000075-nifU|iscU-K04488	Search me on PLaBA-db (KEGG hit)	1	DIRECT_EFFECTS	BIO-FERTILIZATION	NITROGEN_ACQUISITION	N-AQUISITION-ATMOSHPHERIC_NITROGEN_FIXATION	N-FIX-NITROGENASE_BIOSYNTHESIS
