S.NO	ID	PGPT_ID	LV_SUM
1	PGPT0000001	PGPT0000001-nifA|anfA|vnfA-K02584	NITROGEN FIXATION
2	PGPT0000005	PGPT0000005-nifB-K02585	NITROGEN FIXATION
3	PGPT0000010	PGPT0000010-nifD|anfD-K02586	NITROGEN FIXATION
4	PGPT0000015	PGPT0000015-nifE-K02587	NITROGEN FIXATION
5	PGPT0000020	PGPT0000020-nifF|fldA|isiB-K03839	NITROGEN FIXATION
6	PGPT0000025	PGPT0000025-nifH|anfH-K02588	NITROGEN FIXATION
7	PGPT0000030	PGPT0000030-nifHD1|nifI1-K02589	NITROGEN FIXATION
8	PGPT0000035	PGPT0000035-nifHD2|nifI2-K02590	NITROGEN FIXATION
9	PGPT0000040	PGPT0000040-nifJ|por-K03737	NITROGEN FIXATION
10	PGPT0000045	PGPT0000045-nifK|anfK-K02591	NITROGEN FIXATION
11	PGPT0000050	PGPT0000050-nifM-K03769	NITROGEN FIXATION
12	PGPT0000055	PGPT0000055-nifN|vnfN-K02592	NITROGEN FIXATION
13	PGPT0000060	PGPT0000060-nifQ-K15790	NITROGEN FIXATION
14	PGPT0000065	PGPT0000065-nifS|iscS-K04487	NITROGEN FIXATION
15	PGPT0000070	PGPT0000070-nifT|fixU-K02593	NITROGEN FIXATION
16	PGPT0000075	PGPT0000075-nifU|iscU-K04488	NITROGEN FIXATION
17	PGPT0000080	PGPT0000080-nifV-K02594	NITROGEN FIXATION
18	PGPT0000085	PGPT0000085-nifW-K02595	NITROGEN FIXATION
19	PGPT0000090	PGPT0000090-nifX|nifY|vnfX|vnfY-K02596	NITROGEN FIXATION
20	PGPT0000095	PGPT0000095-nifZ-K02597	NITROGEN FIXATION
21	PGPT0000100	PGPT0000100-anfG-K00531	NITROGEN FIXATION
22	PGPT0000101	PGPT0000101-anfO-NA	NITROGEN FIXATION
23	PGPT0000102	PGPT0000102-anfR-NA	NITROGEN FIXATION
24	PGPT0000103	PGPT0000103-anfU-NA	NITROGEN FIXATION
25	PGPT0000105	PGPT0000105-vnfD-K22896	NITROGEN FIXATION
26	PGPT0000106	PGPT0000106-vnfDG-NA	NITROGEN FIXATION
27	PGPT0000110	PGPT0000110-vnfE-K22903	NITROGEN FIXATION
28	PGPT0000111	PGPT0000111-vnfF-NA	NITROGEN FIXATION
29	PGPT0000115	PGPT0000115-vnfG-K22898	NITROGEN FIXATION
30	PGPT0000120	PGPT0000120-vnfH-K22899	NITROGEN FIXATION
31	PGPT0000125	PGPT0000125-vnfK-K22897	NITROGEN FIXATION
32	PGPT0000130	PGPT0000130-nifL-K23916	NITROGEN FIXATION
33	PGPT0000135	PGPT0000135-ptsN-K02806	NITROGEN FIXATION
34	PGPT0000140	PGPT0000140-fixL-K14986	NITROGEN FIXATION
35	PGPT0000145	PGPT0000145-fixJ-K14987	NITROGEN FIXATION
36	PGPT0000150	PGPT0000150-fixK-K15861	NITROGEN FIXATION
37	PGPT0001055	PGPT0001055-fixN|ccoN-K00404	NITROGEN FIXATION
38	PGPT0000152	PGPT0000152-fixO|ccoO-K00405	NITROGEN FIXATION
39	PGPT0000153	PGPT0000153-fixP|ccoP-K00406	NITROGEN FIXATION
40	PGPT0000154	PGPT0000154-fixQ|ccoQ-K00407	NITROGEN FIXATION
41	PGPT0000155	PGPT0000155-hyfA-K12136	NITROGEN FIXATION
42	PGPT0000160	PGPT0000160-hyfB-K12137	NITROGEN FIXATION
43	PGPT0000165	PGPT0000165-hyfC-K12138	NITROGEN FIXATION
44	PGPT0000170	PGPT0000170-hyfD-K12139	NITROGEN FIXATION
45	PGPT0000175	PGPT0000175-hyfE-K12140	NITROGEN FIXATION
46	PGPT0000180	PGPT0000180-hyfF-K12141	NITROGEN FIXATION
47	PGPT0000185	PGPT0000185-hyfG-K12142	NITROGEN FIXATION
48	PGPT0000190	PGPT0000190-hyfH-K12143	NITROGEN FIXATION
49	PGPT0000195	PGPT0000195-hyfI-K12144	NITROGEN FIXATION
50	PGPT0000200	PGPT0000200-hyfJ-K12145	NITROGEN FIXATION
51	PGPT0000205	PGPT0000205-hyfR-K12146	NITROGEN FIXATION
52	PGPT0000210	PGPT0000210-hupL|hyaB|hybC-K06281	NITROGEN FIXATION
53	PGPT0000215	PGPT0000215-hupS|hyaA|hybO-K06282	NITROGEN FIXATION
54	PGPT0000220	PGPT0000220-hupC|hyaC-K03620	NITROGEN FIXATION
